FL_DATE,OP_UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID,DEP_DELAY,DEP_DELAY_GROUP,ARR_DELAY,ARR_DELAY_GROUP,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
4/1/2020,OH,14100,34100,11267,31267,-7,-1,-18,-2,0,,0,111,100,72,1,477,2,,,,,
4/1/2020,OH,11057,31057,14814,30476,-13,-1,-24,-2,0,,0,160,149,121,1,764,4,,,,,
4/1/2020,OH,14814,30476,11057,31057,-11,-1,-27,-2,0,,0,136,120,98,1,764,4,,,,,
4/1/2020,OH,14100,34100,11193,33105,-9,-1,-30,-2,0,,0,117,96,81,1,507,3,,,,,
4/1/2020,OH,15249,35249,11057,31057,-3,-1,-15,-1,0,,0,88,76,59,1,386,2,,,,,
4/1/2020,OH,11057,31057,14814,30476,-9,-1,-29,-2,0,,0,153,133,114,1,764,4,,,,,
4/1/2020,OH,11057,31057,13795,33795,-9,-1,-21,-2,0,,0,59,47,34,1,191,1,,,,,
4/1/2020,OH,11057,31057,10431,30431,,,,,1,D,0,54,,,1,91,1,,,,,
4/1/2020,OH,10792,30792,11057,31057,-7,-1,-23,-2,0,,0,120,104,82,1,546,3,,,,,
4/1/2020,OH,11057,31057,10792,30792,-10,-1,-17,-2,0,,0,105,98,80,1,546,3,,,,,
4/1/2020,OH,11057,31057,11003,31003,-3,-1,-9,-1,0,,0,139,133,109,1,742,3,,,,,
4/1/2020,OH,10599,30599,11057,31057,-9,-1,-27,-2,0,,0,99,81,54,1,350,2,,,,,
4/1/2020,OH,12992,32600,11057,31057,,,,,1,D,0,122,,,1,640,3,,,,,
4/1/2020,OH,13485,33485,14100,34100,-9,-1,-24,-2,0,,0,126,111,100,1,764,4,,,,,
4/1/2020,OH,14100,34100,13485,33485,-7,-1,-37,-2,0,,0,158,128,108,1,764,4,,,,,
4/1/2020,OH,11057,31057,14098,33667,,,,,1,D,0,75,,,1,282,2,,,,,
4/1/2020,OH,14098,33667,11057,31057,,,,,1,D,0,93,,,1,282,2,,,,,
4/1/2020,OH,11057,31057,14122,30198,-15,-1,-25,-2,0,,0,91,81,63,1,366,2,,,,,
4/1/2020,OH,11278,30852,15249,35249,-14,-1,-32,-2,0,,0,135,117,99,1,716,3,,,,,
4/1/2020,OH,11278,30852,14685,34685,-18,-2,-39,-2,0,,0,117,96,81,1,519,3,,,,,
4/1/2020,OH,11278,30852,15096,35096,,,,,1,D,0,76,,,1,298,2,,,,,
4/1/2020,OH,11057,31057,11252,31252,,,,,1,D,0,86,,,1,416,2,,,,,
4/1/2020,OH,11252,31252,11057,31057,,,,,1,D,0,101,,,1,416,2,,,,,
4/1/2020,OH,11057,31057,12197,31703,-15,-1,-27,-2,0,,0,120,108,88,1,564,3,,,,,
4/1/2020,OH,11278,30852,10529,30529,,,,,1,D,0,76,,,1,313,2,,,,,
4/1/2020,OH,11278,30852,11996,31871,-11,-1,-25,-2,0,,0,93,79,64,1,396,2,,,,,
4/1/2020,OH,11641,31641,11057,31057,,,,,1,D,0,76,,,1,118,1,,,,,
4/1/2020,OH,13931,33667,11057,31057,-8,-1,-24,-2,0,,0,88,72,56,1,290,2,,,,,
4/1/2020,OH,11193,33105,14100,34100,-6,-1,-17,-2,0,,0,98,87,72,1,507,3,,,,,
4/1/2020,OH,11278,30852,11042,30647,,,,,1,D,0,83,,,1,310,2,,,,,
4/1/2020,OH,11042,30647,11278,30852,,,,,1,D,0,85,,,1,310,2,,,,,
4/1/2020,OH,10431,30431,11057,31057,,,,,1,D,0,68,,,1,91,1,,,,,
4/1/2020,OH,11057,31057,10431,30431,,,,,1,D,0,53,,,1,91,1,,,,,
4/1/2020,OH,11057,31057,13342,33342,,,,,1,D,0,131,,,1,651,3,,,,,
4/1/2020,OH,11057,31057,11995,31995,-9,-1,-22,-2,0,,0,50,37,20,1,83,1,,,,,
4/1/2020,OH,14100,34100,14986,34986,-9,-1,-25,-2,0,,0,176,160,131,1,957,4,,,,,
4/1/2020,OH,14986,34986,14100,34100,-21,-2,-13,-1,0,,0,161,169,130,1,957,4,,,,,
4/1/2020,OH,15412,35412,14100,34100,-5,-1,-6,-1,0,,0,109,108,79,1,554,3,,,,,
4/1/2020,OH,11057,31057,13360,33360,,,,,1,D,0,103,,,1,490,2,,,,,
4/1/2020,OH,13360,33360,11057,31057,,,,,1,D,0,112,,,1,490,2,,,,,
4/1/2020,OH,11057,31057,10599,30599,67,4,51,3,0,,0,89,73,54,1,350,2,51,0,0,0,0
4/1/2020,OH,15624,31504,11057,31057,-22,-2,-35,-2,0,,0,106,93,65,1,460,2,,,,,
4/1/2020,OH,13485,33485,11057,31057,-5,-1,-9,-1,0,,0,143,139,99,1,708,3,,,,,
4/1/2020,OH,14685,34685,11278,30852,-7,-1,-15,-1,0,,0,98,90,75,1,519,3,,,,,
4/1/2020,OH,11996,31871,11057,31057,-9,-1,-29,-2,0,,0,67,47,21,1,75,1,,,,,
4/1/2020,OH,13277,33277,11057,31057,,,,,1,D,0,100,,,1,372,2,,,,,
4/1/2020,OH,11057,31057,13277,33277,,,,,1,D,0,95,,,1,372,2,,,,,
4/1/2020,OH,14100,34100,13871,33316,,,,,1,D,0,196,,,1,1088,5,,,,,
4/1/2020,OH,11057,31057,13277,33277,,,,,1,D,0,95,,,1,372,2,,,,,
4/1/2020,OH,11057,31057,15412,35412,-7,-1,-24,-2,0,,0,65,48,34,1,177,1,,,,,
4/1/2020,OH,10208,30208,11057,31057,,,,,1,D,0,69,,,1,140,1,,,,,
4/1/2020,OH,11057,31057,10208,30208,,,,,1,D,0,64,,,1,140,1,,,,,
4/1/2020,OH,13277,33277,11057,31057,,,,,1,D,0,99,,,1,372,2,,,,,
4/1/2020,OH,11057,31057,13485,33485,-8,-1,-17,-2,0,,0,136,127,108,1,708,3,,,,,
4/1/2020,OH,11057,31057,15323,35323,,,,,1,D,0,68,,,1,119,1,,,,,
4/1/2020,OH,10599,30599,11057,31057,,,,,1,D,0,93,,,1,350,2,,,,,
4/1/2020,OH,11057,31057,11986,31986,-9,-1,-30,-2,0,,0,129,108,86,1,583,3,,,,,
4/1/2020,OH,11278,30852,15096,35096,,,,,1,D,0,78,,,1,298,2,,,,,
4/1/2020,OH,15096,35096,11278,30852,,,,,1,D,0,82,,,1,298,2,,,,,
4/1/2020,OH,14193,33728,14100,34100,-15,-1,-24,-2,0,,0,148,139,120,1,935,4,,,,,
4/1/2020,OH,11057,31057,11641,31641,,,,,1,D,0,65,,,1,118,1,,,,,
4/1/2020,OH,11641,31641,11057,31057,,,,,1,D,0,71,,,1,118,1,,,,,
4/1/2020,OH,11057,31057,12217,30255,,,,,1,D,0,89,,,1,333,2,,,,,
4/1/2020,OH,12217,30255,11057,31057,,,,,1,D,0,98,,,1,333,2,,,,,
4/1/2020,OH,15323,35323,11057,31057,,,,,1,D,0,71,,,1,119,1,,,,,
4/1/2020,OH,11057,31057,11146,31146,-7,-1,-22,-2,0,,0,75,60,43,1,221,1,,,,,
4/1/2020,OH,11146,31146,11057,31057,-9,-1,-32,-2,0,,0,81,58,38,1,221,1,,,,,
4/1/2020,OH,11278,30852,12884,32884,,,,,1,D,0,107,,,1,479,2,,,,,
4/1/2020,OH,12884,32884,11278,30852,,,,,1,D,0,93,,,1,479,2,,,,,
4/1/2020,OH,11057,31057,11641,31641,,,,,1,D,0,51,,,1,118,1,,,,,
4/1/2020,OH,11641,31641,11057,31057,,,,,1,D,0,69,,,1,118,1,,,,,
4/1/2020,OH,11057,31057,13296,30721,,,,,1,D,0,128,,,1,737,3,,,,,
4/1/2020,OH,14730,33044,11057,31057,-8,-1,-13,-1,0,,0,92,87,53,1,335,2,,,,,
4/1/2020,OH,11057,31057,15624,31504,,,,,1,D,0,109,,,1,460,2,,,,,
4/1/2020,OH,15624,31504,11057,31057,,,,,1,D,0,106,,,1,460,2,,,,,
4/1/2020,OH,14492,34492,11278,30852,,,,,1,D,0,74,,,1,227,1,,,,,
4/1/2020,OH,14492,34492,11278,30852,,,,,1,D,0,65,,,1,227,1,,,,,
4/1/2020,OH,11057,31057,15249,35249,-5,-1,-20,-2,0,,0,94,79,59,1,386,2,,,,,
4/1/2020,OH,15249,35249,11057,31057,-11,-1,-20,-2,0,,0,97,88,62,1,386,2,,,,,
4/1/2020,OH,11057,31057,13296,30721,112,7,106,7,0,,0,133,127,109,1,737,3,106,0,0,0,0
4/1/2020,OH,12339,32337,14100,34100,,,,,1,D,0,112,,,1,588,3,,,,,
4/1/2020,OH,14100,34100,12339,32337,,,,,1,D,0,126,,,1,588,3,,,,,
4/1/2020,OH,11278,30852,10581,30581,,,,,1,D,0,108,,,1,590,3,,,,,
4/1/2020,OH,14100,34100,14685,34685,-13,-1,-26,-2,0,,0,118,105,85,1,629,3,,,,,
4/1/2020,OH,11057,31057,12264,30852,,,,,1,D,0,80,,,1,322,2,,,,,
4/1/2020,OH,12264,30852,11057,31057,,,,,1,D,0,100,,,1,322,2,,,,,
4/1/2020,OH,11278,30852,11193,33105,-17,-2,-37,-2,0,,0,100,80,65,1,411,2,,,,,
4/1/2020,OH,14685,34685,11057,31057,-8,-1,-13,-1,0,,0,68,63,43,1,213,1,,,,,
4/1/2020,OH,13296,30721,11057,31057,-7,-1,-35,-2,0,,0,160,132,114,1,737,3,,,,,
4/1/2020,OH,11057,31057,12217,30255,-3,-1,-20,-2,0,,0,98,81,59,1,333,2,,,,,
4/1/2020,OH,12217,30255,11057,31057,-7,-1,-17,-2,0,,0,100,90,57,1,333,2,,,,,
4/1/2020,OH,11423,31423,11057,31057,-5,-1,-26,-2,0,,0,153,132,104,1,815,4,,,,,
4/1/2020,OH,12197,31703,11278,30852,,,,,1,D,0,69,,,1,234,1,,,,,
4/1/2020,OH,11057,31057,13577,31135,42,2,25,1,0,,0,58,41,26,1,157,1,25,0,0,0,0
4/1/2020,OH,14122,30198,11278,30852,-12,-1,-26,-2,0,,0,76,62,43,1,204,1,,,,,
4/1/2020,OH,11057,31057,10397,30397,,,,,1,D,0,81,,,1,226,1,,,,,
4/1/2020,OH,11057,31057,12992,32600,,,,,1,D,0,138,,,1,640,3,,,,,
4/1/2020,OH,12992,32600,11057,31057,,,,,1,D,0,120,,,1,640,3,,,,,
4/1/2020,OH,11057,31057,14685,34685,-7,-1,-13,-1,0,,0,67,61,40,1,213,1,,,,,
4/1/2020,OH,11057,31057,12992,32600,4,0,0,0,0,,0,136,132,103,1,640,3,,,,,
4/1/2020,OH,14100,34100,11267,31267,-14,-1,-34,-2,0,,0,102,82,65,1,477,2,,,,,
4/1/2020,OH,11057,31057,11641,31641,-12,-1,-24,-2,0,,0,50,38,25,1,118,1,,,,,
4/1/2020,OH,11057,31057,13485,33485,-14,-1,-18,-2,0,,0,134,130,109,1,708,3,,,,,
4/1/2020,OH,13485,33485,11057,31057,-14,-1,-31,-2,0,,0,132,115,97,1,708,3,,,,,
4/1/2020,OH,12953,31703,11267,31267,,,,,1,D,0,133,,,1,549,3,,,,,
4/1/2020,OH,14100,34100,13931,33667,-13,-1,-30,-2,0,,0,64,47,23,1,212,1,,,,,
4/1/2020,OH,11057,31057,11066,31066,,,,,1,D,0,90,,,1,347,2,,,,,
4/1/2020,OH,11066,31066,11057,31057,,,,,1,D,0,93,,,1,347,2,,,,,
4/1/2020,OH,13577,31135,14100,34100,,,,,1,D,0,99,,,1,473,2,,,,,
4/1/2020,OH,14100,34100,13577,31135,,,,,1,D,0,104,,,1,473,2,,,,,
4/1/2020,OH,11057,31057,15624,31504,-6,-1,-13,-1,0,,0,106,99,77,1,460,2,,,,,
4/1/2020,OH,11057,31057,10868,30868,-7,-1,-19,-2,0,,0,53,41,24,1,88,1,,,,,
4/1/2020,OH,11057,31057,10599,30599,,,,,1,D,0,96,,,1,350,2,,,,,
4/1/2020,OH,11057,31057,11193,33105,,,,,1,D,0,88,,,1,335,2,,,,,
